,k,accuracy,precision,recall,f1
0,1,[1.         0.99784448 0.9910586  0.99992017 0.91042631],[1.         0.99699265 1.         0.99988831 1.        ],[1.         1.         0.98748743 1.         0.87466488],[1.         0.99849406 0.99370433 0.99994415 0.93314265]
1,3,[0.99984033 0.99728565 0.98922242 0.9997605  0.91074565],[0.99977661 0.99621592 1.         0.99966499 1.        ],[1.         1.         0.98491789 1.         0.87511171],[0.99988829 0.99810437 0.99240164 0.99983247 0.93339688]
2,5,[0.99984033 0.99712598 0.98866358 0.9997605  0.91130449],[0.99977661 0.99599421 0.99988651 0.99966499 1.        ],[1.         1.         0.98424757 1.         0.87589366],[0.99988829 0.99799309 0.9920054  0.99983247 0.93384148]
3,7,[0.99984033 0.99712598 0.98770557 0.9997605  0.91170366],[0.99977661 0.99599421 0.99988635 0.99966499 1.        ],[1.         1.         0.98290694 1.         0.87645219],[0.99988829 0.99799309 0.99132394 0.99983247 0.93415883]
4,9,[0.99984033 0.99736548 0.99473096 1.         0.91178349],[0.99977661 0.9963268  0.99988748 1.         1.        ],[1.         1.         0.99273824 1.         0.8765639 ],[0.99988829 0.99816002 0.99630003 1.         0.93422228]
5,11,[0.99984033 0.99736548 0.99457129 1.         0.91218266],[0.99977661 0.9963268  0.99988745 1.         1.        ],[1.         1.         0.9925148  1.         0.87712243],[0.99988829 0.99816002 0.99618749 1.         0.9345394 ]
6,13,[0.99984033 0.99728565 0.99544947 1.         0.91266166],[0.99977661 0.99621592 0.99988759 1.         1.        ],[1.         1.         0.99374372 1.         0.87779267],[0.99988829 0.99810437 0.99680619 1.         0.93491969]
7,15,[0.99968066 0.99720581 0.99544947 1.         0.91306083],[0.99955332 0.99610505 0.99988759 1.         1.        ],[1.         1.         0.99374372 1.         0.87835121],[0.99977661 0.99804873 0.99680619 1.         0.9352364 ]
8,17,[0.99968066 0.99720581 0.99760498 1.         0.91505668],[0.99955332 0.99610505 0.99988793 1.         1.        ],[1.         1.         0.99676014 1.         0.88114388],[0.99977661 0.99804873 0.99832158 1.         0.9368171 ]
9,19,[0.99968066 0.99720581 0.99760498 1.         0.91561552],[0.99955332 0.99610505 0.99988793 1.         1.        ],[1.         1.         0.99676014 1.         0.88192583],[0.99977661 0.99804873 0.99832158 1.         0.93725886]
10,21,[0.99968066 0.99720581 0.99784448 1.         0.9176912 ],[0.99955332 0.99610505 0.99988797 1.         1.        ],[1.         1.         0.9970953  1.         0.88483021],[0.99977661 0.99804873 0.99848968 1.         0.93889646]
11,23,[0.99968066 0.99720581 0.99792432 1.         0.91832987],[0.99955332 0.99610505 0.99988798 1.         1.        ],[1.         1.         0.99720702 1.         0.88572386],[0.99977661 0.99804873 0.9985457  1.         0.93939932]
12,25,[0.99968066 0.99720581 0.99888232 1.         0.91976688],[0.99955332 0.99610505 0.99988813 1.         1.        ],[1.         1.         0.99854765 1.         0.88773458],[0.99977661 0.99804873 0.99921744 1.         0.94052903]
13,27,[0.99968066 0.99720581 0.99896216 1.         0.92240141],[0.99955332 0.99610505 0.99988814 1.         1.        ],[1.         1.         0.99865937 1.         0.89142091],[0.99977661 0.99804873 0.99927338 1.         0.94259391]
14,29,[0.99968066 0.99720581 0.99968066 1.         0.92296024],[0.99955332 0.99610505 0.99988826 1.         1.        ],[1.         1.         0.99966484 1.         0.89220286],[0.99977661 0.99804873 0.99977654 1.         0.94303088]
15,31,[0.99968066 0.99720581 0.99968066 1.         0.92495609],[0.99955332 0.99610505 0.99988826 1.         1.        ],[1.         1.         0.99966484 1.         0.89499553],[0.99977661 0.99804873 0.99977654 1.         0.94458854]
16,33,[0.99968066 0.99720581 0.99968066 1.         0.92838895],[0.99955332 0.99610505 0.99988826 1.         1.        ],[1.         1.         0.99966484 1.         0.89979893],[0.99977661 0.99804873 0.99977654 1.         0.94725701]
17,35,[0.99968066 0.99720581 0.99968066 1.         0.92918729],[0.99955332 0.99610505 0.99988826 1.         1.        ],[1.         1.         0.99966484 1.         0.900916  ],[0.99977661 0.99804873 0.99977654 1.         0.94787565]
18,37,[0.99968066 0.99720581 0.99968066 1.         0.93030497],[0.99955332 0.99610505 0.99988826 1.         1.        ],[1.         1.         0.99966484 1.         0.90247989],[0.99977661 0.99804873 0.99977654 1.         0.94874053]
19,39,[0.99968066 0.99720581 0.99968066 1.         0.93158231],[0.99955332 0.99610505 0.99988826 1.         1.        ],[1.         1.         0.99966484 1.         0.9042672 ],[0.99977661 0.99804873 0.99977654 1.         0.94972722]
20,41,[0.99960083 0.99712598 0.99968066 1.         0.93565384],[0.99944172 0.99599421 0.99988826 1.         1.        ],[1.         1.         0.99966484 1.         0.90996425],[0.99972078 0.99799309 0.99977654 1.         0.95285998]
21,43,[0.99960083 0.99712598 0.9997605  1.         0.94946511],[0.99944172 0.99599421 0.99988827 1.         1.        ],[1.         1.         0.99977656 1.         0.92928954],[0.99972078 0.99799309 0.99983241 1.         0.96334897]
22,45,[0.99960083 0.99712598 0.9997605  1.         0.95553249],[0.99944172 0.99599421 0.99988827 1.         1.        ],[1.         1.         0.99977656 1.         0.93777927],[0.99972078 0.99799309 0.99983241 1.         0.9678907 ]
23,47,[0.99960083 0.99712598 0.9997605  1.         0.95888552],[0.99944172 0.99599421 0.99988827 1.         1.        ],[1.         1.         0.99977656 1.         0.94247096],[0.99972078 0.99799309 0.99983241 1.         0.97038358]
24,49,[0.99960083 0.99712598 0.9997605  1.         0.9602427 ],[0.99944172 0.99599421 0.99988827 1.         1.        ],[1.         1.         0.99977656 1.         0.94436997],[0.99972078 0.99799309 0.99983241 1.         0.97138918]
25,51,[0.99960083 0.99712598 0.9997605  1.         0.96080153],[0.99944172 0.99599421 0.99988827 1.         1.        ],[1.         1.         0.99977656 1.         0.94515192],[0.99972078 0.99799309 0.99983241 1.         0.97180268]
